question_number,response_category,demographic_parameter,subgroup,responders_n,base_sub_total,freq
T7,"Your friends, family or work colleagues",Area Type (Population Density),Small Towns (Remote),13,123,11
T7,"Your friends, family or work colleagues",Area Type (Population Density),Rural (Accessible),44,494,9
T7,"Your friends, family or work colleagues",Area Type (Population Density),Rural (Remote),16,239,7.000000000000001
T7,"Your friends, family or work colleagues",Energy Hub Area,Yes/Applicable,77,759,10
T7,"Your friends, family or work colleagues",Energy Hub Area,No/Not Applicable,335,3317,10
T7,"Your friends, family or work colleagues",Flood Risk Area,Yes/Applicable,126,1313,10
T7,"Your friends, family or work colleagues",Flood Risk Area,No/Not Applicable,285,2763,10
T7,"Your friends, family or work colleagues",Education,No Formal Qualifications,37,579,6
T7,"Your friends, family or work colleagues",Education,Other Qualifications,153,1758,9
T7,"Your friends, family or work colleagues",Education,Degree or Higher Qualifications,171,1332,13
T7,"Your friends, family or work colleagues",Education,Non-graduate,190,2337,8
T7,"Your friends, family or work colleagues",Working Status,Employed (FT or PT),254,2232,11
T7,"Your friends, family or work colleagues",Working Status,Unemployed,85,687,12
T7,"Your friends, family or work colleagues",Working Status,Retired,57,991,6
T7,"Your friends, family or work colleagues",Income,"Less than £26,000",129,1192,11
T7,"Your friends, family or work colleagues",Income,"From £26,000 to less than £52,000",106,973,11
T7,"Your friends, family or work colleagues",Income,"Less than £52,000",236,2164,11
T7,"Your friends, family or work colleagues",Income,"£52,000 and above",95,859,11
T7,Local community groups,Overall Population,Overall Population,399,4076,10
T7,Local community groups,Biological Sex,Men,153,1878,8
T7,Local community groups,Biological Sex,Women,232,2083,11
T7,Local community groups,Age,From 16 to 34,140,1020,14.000000000000002
T7,Local community groups,Age,From 35 to 54,131,1231,11
T7,Local community groups,Age,From 55 to 69,79,991,8
T7,Local community groups,Age,70 and above,38,710,5
T7,Local community groups,Age,35 and above,248,2931,8
T7,Local community groups,Age,Under 55,271,2251,12
T7,Local community groups,Area Type (Population Density),Urban (All),343,3343,10
T7,Local community groups,Area Type (Population Density),Rural (All),56,733,8
T7,Local community groups,Area Type (Population Density),Urban (Large),175,1525,11
T7,Local community groups,Area Type (Population Density),Urban (Other),121,1338,9
T7,Local community groups,Area Type (Population Density),Small Towns (Accessible),33,357,9
T7,Local community groups,Area Type (Population Density),Small Towns (Remote),12,123,10
T7,Local community groups,Area Type (Population Density),Rural (Accessible),35,494,7.000000000000001
T7,Local community groups,Area Type (Population Density),Rural (Remote),22,239,9
T7,Local community groups,Energy Hub Area,Yes/Applicable,64,759,8
T7,Local community groups,Energy Hub Area,No/Not Applicable,335,3317,10
T7,Local community groups,Flood Risk Area,Yes/Applicable,126,1313,10
T7,Local community groups,Flood Risk Area,No/Not Applicable,273,2763,10
T7,Local community groups,Education,No Formal Qualifications,39,579,7.000000000000001
T7,Local community groups,Education,Other Qualifications,152,1758,9
T7,Local community groups,Education,Degree or Higher Qualifications,158,1332,12
T7,Local community groups,Education,Non-graduate,191,2337,8
T7,Local community groups,Working Status,Employed (FT or PT),243,2232,11
T7,Local community groups,Working Status,Unemployed,83,687,12
T7,Local community groups,Working Status,Retired,54,991,5
T7,Local community groups,Income,"Less than £26,000",120,1192,10
T7,Local community groups,Income,"From £26,000 to less than £52,000",105,973,11
T7,Local community groups,Income,"Less than £52,000",225,2164,10
T7,Local community groups,Income,"£52,000 and above",77,859,9
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Overall Population,Overall Population,163,4076,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Biological Sex,Men,61,1878,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Biological Sex,Women,101,2083,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Age,From 16 to 34,84,1020,8
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Age,From 35 to 54,34,1231,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Age,From 55 to 69,31,991,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Age,70 and above,10,710,1
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Age,35 and above,75,2931,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Age,Under 55,118,2251,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Urban (All),148,3343,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Rural (All),15,733,2
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Urban (Large),82,1525,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Urban (Other),53,1338,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Small Towns (Accessible),9,357,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Small Towns (Remote),4,123,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Rural (Accessible),11,494,2
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Area Type (Population Density),Rural (Remote),4,239,2
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Energy Hub Area,Yes/Applicable,20,759,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Energy Hub Area,No/Not Applicable,144,3317,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Flood Risk Area,Yes/Applicable,58,1313,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Flood Risk Area,No/Not Applicable,106,2763,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Education,No Formal Qualifications,21,579,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Education,Other Qualifications,89,1758,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Education,Degree or Higher Qualifications,43,1332,3
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Education,Non-graduate,110,2337,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Working Status,Employed (FT or PT),98,2232,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Working Status,Unemployed,42,687,6
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Working Status,Retired,13,991,1
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Income,"Less than £26,000",64,1192,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Income,"From £26,000 to less than £52,000",38,973,4
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Income,"Less than £52,000",101,2164,5
T7,"People on social media (e.g. Facebook, X (formerly Twitter), TikTok, Instagram)",Income,"£52,000 and above",26,859,3
T7,Businesses / private companies,Overall Population,Overall Population,162,4076,4
T7,Businesses / private companies,Biological Sex,Men,75,1878,4
T7,Businesses / private companies,Biological Sex,Women,83,2083,4
T7,Businesses / private companies,Age,From 16 to 34,55,1020,5
T7,Businesses / private companies,Age,From 35 to 54,45,1231,4
T7,Businesses / private companies,Age,From 55 to 69,44,991,4
T7,Businesses / private companies,Age,70 and above,16,710,2
T7,Businesses / private companies,Age,35 and above,106,2931,4
T7,Businesses / private companies,Age,Under 55,100,2251,4
T7,Businesses / private companies,Area Type (Population Density),Urban (All),139,3343,4
T7,Businesses / private companies,Area Type (Population Density),Rural (All),23,733,3
T7,Businesses / private companies,Area Type (Population Density),Urban (Large),66,1525,4
T7,Businesses / private companies,Area Type (Population Density),Urban (Other),51,1338,4
T7,Businesses / private companies,Area Type (Population Density),Small Towns (Accessible),19,357,5
T7,Businesses / private companies,Area Type (Population Density),Small Towns (Remote),2,123,2
T7,Businesses / private companies,Area Type (Population Density),Rural (Accessible),16,494,3
T7,Businesses / private companies,Area Type (Population Density),Rural (Remote),7,239,3
T7,Businesses / private companies,Energy Hub Area,Yes/Applicable,26,759,3
T7,Businesses / private companies,Energy Hub Area,No/Not Applicable,136,3317,4
T7,Businesses / private companies,Flood Risk Area,Yes/Applicable,42,1313,3
T7,Businesses / private companies,Flood Risk Area,No/Not Applicable,120,2763,4
T7,Businesses / private companies,Education,No Formal Qualifications,16,579,3
T7,Businesses / private companies,Education,Other Qualifications,63,1758,4
T7,Businesses / private companies,Education,Degree or Higher Qualifications,72,1332,5
T7,Businesses / private companies,Education,Non-graduate,79,2337,3
T7,Businesses / private companies,Working Status,Employed (FT or PT),113,2232,5
T7,Businesses / private companies,Working Status,Unemployed,22,687,3
T7,Businesses / private companies,Working Status,Retired,19,991,2
T7,Businesses / private companies,Income,"Less than £26,000",29,1192,2
T7,Businesses / private companies,Income,"From £26,000 to less than £52,000",31,973,3
T7,Businesses / private companies,Income,"Less than £52,000",60,2164,3
T7,Businesses / private companies,Income,"£52,000 and above",60,859,7.000000000000001
T7,None of these,Overall Population,Overall Population,251,4076,6
T7,None of these,Biological Sex,Men,162,1878,9
T7,None of these,Biological Sex,Women,69,2083,3
T7,None of these,Age,From 16 to 34,29,1020,3
T7,None of these,Age,From 35 to 54,90,1231,7.000000000000001
T7,None of these,Age,From 55 to 69,64,991,6
T7,None of these,Age,70 and above,46,710,6
T7,None of these,Age,35 and above,200,2931,7.000000000000001
T7,None of these,Age,Under 55,119,2251,5
T7,None of these,Area Type (Population Density),Urban (All),187,3343,6
T7,None of these,Area Type (Population Density),Rural (All),64,733,9
T7,None of these,Area Type (Population Density),Urban (Large),75,1525,5
T7,None of these,Area Type (Population Density),Urban (Other),75,1338,6
T7,None of these,Area Type (Population Density),Small Towns (Accessible),23,357,6
T7,None of these,Area Type (Population Density),Small Towns (Remote),14,123,11
T7,None of these,Area Type (Population Density),Rural (Accessible),44,494,9
T7,None of these,Area Type (Population Density),Rural (Remote),20,239,8
T7,None of these,Energy Hub Area,Yes/Applicable,51,759,7.000000000000001
T7,None of these,Energy Hub Area,No/Not Applicable,200,3317,6
T7,None of these,Flood Risk Area,Yes/Applicable,75,1313,6
T7,None of these,Flood Risk Area,No/Not Applicable,176,2763,6
T7,None of these,Education,No Formal Qualifications,39,579,7.000000000000001
T7,None of these,Education,Other Qualifications,122,1758,7.000000000000001
T7,None of these,Education,Degree or Higher Qualifications,61,1332,5
T7,None of these,Education,Non-graduate,161,2337,7.000000000000001
T7,None of these,Working Status,Employed (FT or PT),135,2232,6
T7,None of these,Working Status,Unemployed,33,687,5
T7,None of these,Working Status,Retired,62,991,6
T7,None of these,Income,"Less than £26,000",72,1192,6
T7,None of these,Income,"From £26,000 to less than £52,000",45,973,5
T7,None of these,Income,"Less than £52,000",117,2164,5
T7,None of these,Income,"£52,000 and above",27,859,3
T7,Don't know,Overall Population,Overall Population,119,4076,3
T7,Don't know,Biological Sex,Men,40,1878,2
T7,Don't know,Biological Sex,Women,77,2083,4
T7,Don't know,Age,From 16 to 34,28,1020,3
T7,Don't know,Age,From 35 to 54,35,1231,3
T7,Don't know,Age,From 55 to 69,22,991,2
T7,Don't know,Age,70 and above,27,710,4
T7,Don't know,Age,35 and above,84,2931,3
T7,Don't know,Age,Under 55,63,2251,3
T7,Don't know,Area Type (Population Density),Urban (All),102,3343,3
T7,Don't know,Area Type (Population Density),Rural (All),17,733,2
T7,Don't know,Area Type (Population Density),Urban (Large),32,1525,2
T7,Don't know,Area Type (Population Density),Urban (Other),44,1338,3
T7,Don't know,Area Type (Population Density),Small Towns (Accessible),16,357,4
T7,Don't know,Area Type (Population Density),Small Towns (Remote),9,123,7.000000000000001
T7,Don't know,Area Type (Population Density),Rural (Accessible),9,494,2
T7,Don't know,Area Type (Population Density),Rural (Remote),8,239,3
T7,Don't know,Energy Hub Area,Yes/Applicable,40,759,5
T7,Don't know,Energy Hub Area,No/Not Applicable,79,3317,2
T7,Don't know,Flood Risk Area,Yes/Applicable,43,1313,3
T7,Don't know,Flood Risk Area,No/Not Applicable,76,2763,3
T7,Don't know,Education,No Formal Qualifications,36,579,6
T7,Don't know,Education,Other Qualifications,55,1758,3
T7,Don't know,Education,Degree or Higher Qualifications,20,1332,2
T7,Don't know,Education,Non-graduate,91,2337,4
T7,Don't know,Working Status,Employed (FT or PT),60,2232,3
T7,Don't know,Working Status,Unemployed,20,687,3
T7,Don't know,Working Status,Retired,34,991,3
T7,Don't know,Income,"Less than £26,000",43,1192,4
T7,Don't know,Income,"From £26,000 to less than £52,000",25,973,3
T7,Don't know,Income,"Less than £52,000",68,2164,3
T7,Don't know,Income,"£52,000 and above",9,859,1
T7,Prefer not to say,Overall Population,Overall Population,10,4076,0
T7,Prefer not to say,Biological Sex,Men,3,1878,0
T7,Prefer not to say,Biological Sex,Women,2,2083,0
T7,Prefer not to say,Age,From 16 to 34,1,1020,0
T7,Prefer not to say,Age,From 35 to 54,4,1231,0
T7,Prefer not to say,Age,From 55 to 69,1,991,0
T7,Prefer not to say,Age,70 and above,NA,710,NA
T7,Prefer not to say,Age,35 and above,5,2931,0
T7,Prefer not to say,Age,Under 55,6,2251,0
T7,Prefer not to say,Area Type (Population Density),Urban (All),8,3343,0
T7,Prefer not to say,Area Type (Population Density),Rural (All),1,733,0
T7,Prefer not to say,Area Type (Population Density),Urban (Large),2,1525,0
T7,Prefer not to say,Area Type (Population Density),Urban (Other),3,1338,0
T7,Prefer not to say,Area Type (Population Density),Small Towns (Accessible),3,357,1
T7,Prefer not to say,Area Type (Population Density),Small Towns (Remote),NA,123,NA
T7,Prefer not to say,Area Type (Population Density),Rural (Accessible),NA,494,NA
T7,Prefer not to say,Area Type (Population Density),Rural (Remote),1,239,0
T7,Prefer not to say,Energy Hub Area,Yes/Applicable,NA,759,NA
T7,Prefer not to say,Energy Hub Area,No/Not Applicable,9,3317,0
T7,Prefer not to say,Flood Risk Area,Yes/Applicable,3,1313,0
T7,Prefer not to say,Flood Risk Area,No/Not Applicable,7,2763,0
T7,Prefer not to say,Education,No Formal Qualifications,NA,579,NA
T7,Prefer not to say,Education,Other Qualifications,4,1758,0
T7,Prefer not to say,Education,Degree or Higher Qualifications,1,1332,0
T7,Prefer not to say,Education,Non-graduate,4,2337,0
T7,Prefer not to say,Working Status,Employed (FT or PT),2,2232,0
T7,Prefer not to say,Working Status,Unemployed,2,687,0
T7,Prefer not to say,Working Status,Retired,NA,991,NA
T7,Prefer not to say,Income,"Less than £26,000",3,1192,0
T7,Prefer not to say,Income,"From £26,000 to less than £52,000",2,973,0
T7,Prefer not to say,Income,"Less than £52,000",5,2164,0
T7,Prefer not to say,Income,"£52,000 and above",NA,859,NA
T9,Worried,Overall Population,Overall Population,1886,4074,46
T9,Worried,Biological Sex,Men,780,1876,42
T9,Worried,Biological Sex,Women,1075,2083,52
T9,Worried,Age,From 16 to 34,508,1020,50
T9,Worried,Age,From 35 to 54,564,1228,46
T9,Worried,Age,From 55 to 69,474,990,48
T9,Worried,Age,70 and above,307,711,43
T9,Worried,Age,35 and above,1344,2929,46
T9,Worried,Age,Under 55,1071,2248,48
T9,Worried,Area Type (Population Density),Urban (All),1561,3346,47
T9,Worried,Area Type (Population Density),Rural (All),325,728,45
T9,Worried,Area Type (Population Density),Urban (Large),727,1525,48
T9,Worried,Area Type (Population Density),Urban (Other),619,1338,46
T9,Worried,Area Type (Population Density),Small Towns (Accessible),157,359,44
T9,Worried,Area Type (Population Density),Small Towns (Remote),57,124,46
T9,Worried,Area Type (Population Density),Rural (Accessible),228,490,47
T9,Worried,Area Type (Population Density),Rural (Remote),97,239,41
T9,Worried,Energy Hub Area,Yes/Applicable,336,759,44
T9,Worried,Energy Hub Area,No/Not Applicable,1550,3315,47
T9,Worried,Flood Risk Area,Yes/Applicable,582,1313,44
T9,Worried,Flood Risk Area,No/Not Applicable,1304,2761,47
T9,Worried,Education,No Formal Qualifications,228,578,39
T9,Worried,Education,Other Qualifications,765,1757,44
T9,Worried,Education,Degree or Higher Qualifications,750,1332,56.00000000000001
T9,Worried,Education,Non-graduate,993,2334,43
T9,Worried,Working Status,Employed (FT or PT),1096,2231,49
T9,Worried,Working Status,Unemployed,280,687,41
T9,Worried,Working Status,Retired,459,992,46
T9,Worried,Income,"Less than £26,000",538,1193,45
T9,Worried,Income,"From £26,000 to less than £52,000",469,973,48
T9,Worried,Income,"Less than £52,000",1007,2166,46
T9,Worried,Income,"£52,000 and above",478,858,56.00000000000001
T9,Powerless,Overall Population,Overall Population,1407,4074,35
T9,Powerless,Biological Sex,Men,656,1876,35
T9,Powerless,Biological Sex,Women,727,2083,35
T9,Powerless,Age,From 16 to 34,439,1020,43
T9,Powerless,Age,From 35 to 54,430,1228,35
T9,Powerless,Age,From 55 to 69,286,990,28.999999999999996
T9,Powerless,Age,70 and above,224,711,32
T9,Powerless,Age,35 and above,939,2929,32
T9,Powerless,Age,Under 55,869,2248,39
T9,Powerless,Area Type (Population Density),Urban (All),1147,3346,34
T9,Powerless,Area Type (Population Density),Rural (All),260,728,36
T9,Powerless,Area Type (Population Density),Urban (Large),566,1525,37
T9,Powerless,Area Type (Population Density),Urban (Other),437,1338,33
T9,Powerless,Area Type (Population Density),Small Towns (Accessible),103,359,28.999999999999996
T9,Powerless,Area Type (Population Density),Small Towns (Remote),41,124,33
T9,Powerless,Area Type (Population Density),Rural (Accessible),176,490,36
T9,Powerless,Area Type (Population Density),Rural (Remote),84,239,35
T9,Powerless,Energy Hub Area,Yes/Applicable,265,759,35
T9,Powerless,Energy Hub Area,No/Not Applicable,1142,3315,34
T9,Powerless,Flood Risk Area,Yes/Applicable,466,1313,35
T9,Powerless,Flood Risk Area,No/Not Applicable,942,2761,34
T9,Powerless,Education,No Formal Qualifications,147,578,25
T9,Powerless,Education,Other Qualifications,591,1757,34
T9,Powerless,Education,Degree or Higher Qualifications,549,1332,41
T9,Powerless,Education,Non-graduate,737,2334,32
T9,Powerless,Working Status,Employed (FT or PT),838,2231,38
T9,Powerless,Working Status,Unemployed,222,687,32
T9,Powerless,Working Status,Retired,305,992,31
T9,Powerless,Income,"Less than £26,000",376,1193,32
T9,Powerless,Income,"From £26,000 to less than £52,000",381,973,39
T9,Powerless,Income,"Less than £52,000",756,2166,35
T9,Powerless,Income,"£52,000 and above",343,858,40
T9,Sad,Overall Population,Overall Population,1062,4074,26
T9,Sad,Biological Sex,Men,394,1876,21
T9,Sad,Biological Sex,Women,646,2083,31
T9,Sad,Age,From 16 to 34,246,1020,24
T9,Sad,Age,From 35 to 54,326,1228,27
T9,Sad,Age,From 55 to 69,261,990,26
T9,Sad,Age,70 and above,201,711,28.000000000000004
T9,Sad,Age,35 and above,788,2929,27
T9,Sad,Age,Under 55,573,2248,25
T9,Sad,Area Type (Population Density),Urban (All),883,3346,26
T9,Sad,Area Type (Population Density),Rural (All),179,728,25
T9,Sad,Area Type (Population Density),Urban (Large),401,1525,26
T9,Sad,Area Type (Population Density),Urban (Other),357,1338,27
T9,Sad,Area Type (Population Density),Small Towns (Accessible),94,359,26
T9,Sad,Area Type (Population Density),Small Towns (Remote),31,124,25
T9,Sad,Area Type (Population Density),Rural (Accessible),120,490,24
T9,Sad,Area Type (Population Density),Rural (Remote),59,239,25
T9,Sad,Energy Hub Area,Yes/Applicable,196,759,26
T9,Sad,Energy Hub Area,No/Not Applicable,866,3315,26
T9,Sad,Flood Risk Area,Yes/Applicable,353,1313,27
T9,Sad,Flood Risk Area,No/Not Applicable,709,2761,26
T9,Sad,Education,No Formal Qualifications,146,578,25
T9,Sad,Education,Other Qualifications,453,1757,26
T9,Sad,Education,Degree or Higher Qualifications,370,1332,28.000000000000004
T9,Sad,Education,Non-graduate,599,2334,26
T9,Sad,Working Status,Employed (FT or PT),585,2231,26
T9,Sad,Working Status,Unemployed,156,687,23
T9,Sad,Working Status,Retired,281,992,28.000000000000004
T9,Sad,Income,"Less than £26,000",318,1193,27
T9,Sad,Income,"From £26,000 to less than £52,000",259,973,27
T9,Sad,Income,"Less than £52,000",578,2166,27
T9,Sad,Income,"£52,000 and above",239,858,28.000000000000004
T9,Interested,Overall Population,Overall Population,880,4074,22
T9,Interested,Biological Sex,Men,436,1876,23
T9,Interested,Biological Sex,Women,417,2083,20
T9,Interested,Age,From 16 to 34,160,1020,16
T9,Interested,Age,From 35 to 54,233,1228,19
T9,Interested,Age,From 55 to 69,256,990,26
T9,Interested,Age,70 and above,197,711,28.000000000000004
T9,Interested,Age,35 and above,686,2929,23
T9,Interested,Age,Under 55,393,2248,17
T9,Interested,Area Type (Population Density),Urban (All),712,3346,21
T9,Interested,Area Type (Population Density),Rural (All),168,728,23
T9,Interested,Area Type (Population Density),Urban (Large),305,1525,20
T9,Interested,Area Type (Population Density),Urban (Other),301,1338,22
T9,Interested,Area Type (Population Density),Small Towns (Accessible),77,359,21
T9,Interested,Area Type (Population Density),Small Towns (Remote),28,124,23
T9,Interested,Area Type (Population Density),Rural (Accessible),119,490,24
T9,Interested,Area Type (Population Density),Rural (Remote),50,239,21
T9,Interested,Energy Hub Area,Yes/Applicable,172,759,23
T9,Interested,Energy Hub Area,No/Not Applicable,708,3315,21
T9,Interested,Flood Risk Area,Yes/Applicable,279,1313,21
T9,Interested,Flood Risk Area,No/Not Applicable,601,2761,22
T9,Interested,Education,No Formal Qualifications,120,578,21
T9,Interested,Education,Other Qualifications,378,1757,22
T9,Interested,Education,Degree or Higher Qualifications,308,1332,23
T9,Interested,Education,Non-graduate,498,2334,21
T9,Interested,Working Status,Employed (FT or PT),451,2231,20
T9,Interested,Working Status,Unemployed,114,687,17
T9,Interested,Working Status,Retired,269,992,27
T9,Interested,Income,"Less than £26,000",288,1193,24
T9,Interested,Income,"From £26,000 to less than £52,000",208,973,21
T9,Interested,Income,"Less than £52,000",497,2166,23
T9,Interested,Income,"£52,000 and above",178,858,21
T9,Angry,Overall Population,Overall Population,689,4074,17
T9,Angry,Biological Sex,Men,330,1876,18
T9,Angry,Biological Sex,Women,337,2083,16
T9,Angry,Age,From 16 to 34,235,1020,23
T9,Angry,Age,From 35 to 54,195,1228,16
T9,Angry,Age,From 55 to 69,142,990,14.000000000000002
T9,Angry,Age,70 and above,101,711,14.000000000000002
T9,Angry,Age,35 and above,438,2929,15
T9,Angry,Age,Under 55,430,2248,19
T9,Angry,Area Type (Population Density),Urban (All),565,3346,17
T9,Angry,Area Type (Population Density),Rural (All),124,728,17
T9,Angry,Area Type (Population Density),Urban (Large),296,1525,19
T9,Angry,Area Type (Population Density),Urban (Other),199,1338,15
T9,Angry,Area Type (Population Density),Small Towns (Accessible),55,359,15
T9,Angry,Area Type (Population Density),Small Towns (Remote),15,124,12
T9,Angry,Area Type (Population Density),Rural (Accessible),82,490,17
T9,Angry,Area Type (Population Density),Rural (Remote),43,239,18
T9,Angry,Energy Hub Area,Yes/Applicable,115,759,15
T9,Angry,Energy Hub Area,No/Not Applicable,574,3315,17
T9,Angry,Flood Risk Area,Yes/Applicable,219,1313,17
T9,Angry,Flood Risk Area,No/Not Applicable,471,2761,17
T9,Angry,Education,No Formal Qualifications,62,578,11
T9,Angry,Education,Other Qualifications,281,1757,16
T9,Angry,Education,Degree or Higher Qualifications,265,1332,20
T9,Angry,Education,Non-graduate,343,2334,15
T9,Angry,Working Status,Employed (FT or PT),386,2231,17
T9,Angry,Working Status,Unemployed,127,687,18
T9,Angry,Working Status,Retired,144,992,15
T9,Angry,Income,"Less than £26,000",191,1193,16
T9,Angry,Income,"From £26,000 to less than £52,000",155,973,16
T9,Angry,Income,"Less than £52,000",346,2166,16
T9,Angry,Income,"£52,000 and above",197,858,23
T9,Hopeful,Overall Population,Overall Population,611,4074,15
T9,Hopeful,Biological Sex,Men,302,1876,16
T9,Hopeful,Biological Sex,Women,300,2083,14.000000000000002
T9,Hopeful,Age,From 16 to 34,112,1020,11
T9,Hopeful,Age,From 35 to 54,134,1228,11
T9,Hopeful,Age,From 55 to 69,166,990,17
T9,Hopeful,Age,70 and above,182,711,26
T9,Hopeful,Age,35 and above,482,2929,16
T9,Hopeful,Age,Under 55,246,2248,11
T9,Hopeful,Area Type (Population Density),Urban (All),510,3346,15
T9,Hopeful,Area Type (Population Density),Rural (All),101,728,14.000000000000002
T9,Hopeful,Area Type (Population Density),Urban (Large),231,1525,15
T9,Hopeful,Area Type (Population Density),Urban (Other),206,1338,15
T9,Hopeful,Area Type (Population Density),Small Towns (Accessible),57,359,16
T9,Hopeful,Area Type (Population Density),Small Towns (Remote),16,124,13
T9,Hopeful,Area Type (Population Density),Rural (Accessible),67,490,14.000000000000002
T9,Hopeful,Area Type (Population Density),Rural (Remote),34,239,14.000000000000002
T9,Hopeful,Energy Hub Area,Yes/Applicable,109,759,14.000000000000002
T9,Hopeful,Energy Hub Area,No/Not Applicable,502,3315,15
T9,Hopeful,Flood Risk Area,Yes/Applicable,186,1313,14.000000000000002
T9,Hopeful,Flood Risk Area,No/Not Applicable,425,2761,15
T9,Hopeful,Education,No Formal Qualifications,146,578,25
T9,Hopeful,Education,Other Qualifications,239,1757,14.000000000000002
T9,Hopeful,Education,Degree or Higher Qualifications,169,1332,13
T9,Hopeful,Education,Non-graduate,385,2334,16
T9,Hopeful,Working Status,Employed (FT or PT),262,2231,12
T9,Hopeful,Working Status,Unemployed,101,687,15
T9,Hopeful,Working Status,Retired,226,992,23
T9,Hopeful,Income,"Less than £26,000",254,1193,21
T9,Hopeful,Income,"From £26,000 to less than £52,000",113,973,12
T9,Hopeful,Income,"Less than £52,000",368,2166,17
T9,Hopeful,Income,"£52,000 and above",94,858,11
T9,Sceptical,Overall Population,Overall Population,530,4074,13
T9,Sceptical,Biological Sex,Men,309,1876,16
T9,Sceptical,Biological Sex,Women,204,2083,10
T9,Sceptical,Age,From 16 to 34,81,1020,8
T9,Sceptical,Age,From 35 to 54,155,1228,13
T9,Sceptical,Age,From 55 to 69,149,990,15
T9,Sceptical,Age,70 and above,113,711,16
T9,Sceptical,Age,35 and above,416,2929,14.000000000000002
T9,Sceptical,Age,Under 55,235,2248,10
T9,Sceptical,Area Type (Population Density),Urban (All),440,3346,13
T9,Sceptical,Area Type (Population Density),Rural (All),90,728,12
T9,Sceptical,Area Type (Population Density),Urban (Large),177,1525,12
T9,Sceptical,Area Type (Population Density),Urban (Other),195,1338,15
T9,Sceptical,Area Type (Population Density),Small Towns (Accessible),52,359,14.000000000000002
T9,Sceptical,Area Type (Population Density),Small Towns (Remote),16,124,13
T9,Sceptical,Area Type (Population Density),Rural (Accessible),56,490,11
T9,Sceptical,Area Type (Population Density),Rural (Remote),34,239,14.000000000000002
T9,Sceptical,Energy Hub Area,Yes/Applicable,103,759,14.000000000000002
T9,Sceptical,Energy Hub Area,No/Not Applicable,427,3315,13
T9,Sceptical,Flood Risk Area,Yes/Applicable,187,1313,14.000000000000002
T9,Sceptical,Flood Risk Area,No/Not Applicable,342,2761,12
T9,Sceptical,Education,No Formal Qualifications,105,578,18
T9,Sceptical,Education,Other Qualifications,250,1757,14.000000000000002
T9,Sceptical,Education,Degree or Higher Qualifications,113,1332,8
T9,Sceptical,Education,Non-graduate,355,2334,15
T9,Sceptical,Working Status,Employed (FT or PT),271,2231,12
T9,Sceptical,Working Status,Unemployed,67,687,10
T9,Sceptical,Working Status,Retired,158,992,16
T9,Sceptical,Income,"Less than £26,000",154,1193,13
T9,Sceptical,Income,"From £26,000 to less than £52,000",100,973,10
T9,Sceptical,Income,"Less than £52,000",254,2166,12
T9,Sceptical,Income,"£52,000 and above",97,858,11
T9,Afraid,Overall Population,Overall Population,458,4074,11
